MaturityYears,ZeroSpotRate
0.1,5.218680401571591
0.2,5.26758729813676
0.3,5.315349993315092
0.4,5.361997063818281
0.5,5.407556377223089
0.6,5.452055109314347
0.7,5.4955197610084054
0.7999999999999999,5.537976174867133
0.8999999999999999,5.579449551212264
0.9999999999999999,5.619964463849742
1.0999999999999999,5.659544875413334
1.2,5.698214152336805
1.3,5.735995079463411
1.4,5.772909874301598
1.5,5.808980200935269
1.5999999999999999,5.844227183597008
1.7,5.878671419912335
1.8,5.912332993822903
1.9,5.945231488196367
2.0,5.977385997130438
2.0999999999999996,6.008815137958517
2.1999999999999997,6.039537062964062
2.3,6.069569470810682
2.4,6.09892961769485
2.5,6.127634328227844
2.6,6.1557000060535065
2.6999999999999997,6.183142644208108
2.8,6.209977835228591
2.9,6.236220781015204
3.0,6.261886302454475
3.0999999999999996,6.286988848808276
3.1999999999999997,6.3115425068746145
3.3,6.3355610099256765
3.4,6.359057746428457
3.5,6.382045768553238
3.5999999999999996,6.4045378004750155
3.6999999999999997,6.426546246472891
3.8,6.4480831988322596
3.9,6.46916044555459
3.9999999999999996,6.48978947787942
4.1,6.509981497623075
4.199999999999999,6.529747424338604
4.299999999999999,6.54909790230114
4.3999999999999995,6.568043307322996
4.499999999999999,6.586593753402554
4.6,6.604759099210971
4.699999999999999,6.622548954420623
4.799999999999999,6.639972685879101
4.8999999999999995,6.657039423632512
4.999999999999999,6.673758066801677
5.1,6.69013728931484
5.199999999999999,6.706185545500315
5.299999999999999,6.72191107554247
5.3999999999999995,6.737321910804351
5.499999999999999,6.752425879020166
5.599999999999999,6.767230609360789
5.699999999999999,6.781743537375343
5.799999999999999,6.795971909811857
5.8999999999999995,6.809922789319934
5.999999999999999,6.823603059038292
6.099999999999999,6.837019427069929
6.199999999999999,6.85017843084768
6.299999999999999,6.863086441392791
6.3999999999999995,6.8757496674690906
6.499999999999999,6.888174159635335
6.599999999999999,6.900365814198135
6.699999999999999,6.912330377067919
